expansion_,craft_,rarity_,pp_,CardName,id_,Code
ベーシック,ドラゴン,ブロンズレア,2,ドラゴンライダー,100411010,5_2Q2
ベーシック,ドラゴン,ブロンズレア,5,ディザスタードラゴン,100411020,5_2QC
ベーシック,ドラゴン,ブロンズレア,4,デスドラゴン,100411030,5_2QM
ベーシック,ドラゴン,ブロンズレア,6,ドラゴンガード,100411040,5_2QW
ベーシック,ドラゴン,ブロンズレア,3,古の飛竜,100411050,5_2Qg
ベーシック,ドラゴン,ブロンズレア,2,竜の託宣,100414010,5_38w
ベーシック,ドラゴン,ブロンズレア,1,ブレイジングブレス,100414020,5_394
ベーシック,ドラゴン,ブロンズレア,4,竜の怒り,100414030,5_39E
ベーシック,ドラゴン,シルバーレア,4,ドラゴンウォーリア,100421010,5_4sI
ベーシック,ドラゴン,シルバーレア,7,ドレッドドラゴン,100421020,5_4sS
ベーシック,ドラゴン,シルバーレア,7,灼熱の嵐,100424010,5_5bA
ベーシック,ネクロマンサー,ブロンズレア,2,スパルトイサージェント,100511010,5_QqY
ベーシック,ネクロマンサー,ブロンズレア,2,スペクター,100511020,5_Qqi
ベーシック,ネクロマンサー,ブロンズレア,3,ルーキーネクロマンサー,100511030,5_Qqs
ベーシック,ネクロマンサー,ブロンズレア,4,エルダースパルトイソルジャー,100511040,5_Qr0
ベーシック,ネクロマンサー,ブロンズレア,5,グレイブウェイカー,100511050,5_QrA
ベーシック,ネクロマンサー,ブロンズレア,6,ゴーストライダー,100511060,5_QrK
ベーシック,ネクロマンサー,ブロンズレア,2,消えぬ怨恨,100514010,5_RZQ
ベーシック,ネクロマンサー,ブロンズレア,4,深淵への誘い,100514020,5_RZa
ベーシック,ネクロマンサー,シルバーレア,4,悪戯なネクロマンサー,100521010,5_TGo
ベーシック,ネクロマンサー,シルバーレア,4,地獄の解放者,100521020,5_TGy
ベーシック,ネクロマンサー,シルバーレア,7,アンデッドキング,100521030,5_TH6
ベーシック,ヴァンパイア,ブロンズレア,2,ナイトメア,100611010,5_pF2
ベーシック,ヴァンパイア,ブロンズレア,2,スウィートヴァンパイア,100611020,5_pFC
ベーシック,ヴァンパイア,ブロンズレア,3,狂気の処刑人,100611030,5_pFM
ベーシック,ヴァンパイア,ブロンズレア,6,インプランサー,100611040,5_pFW
ベーシック,ヴァンパイア,ブロンズレア,4,ダークジェネラル,100611050,5_pFg
ベーシック,ヴァンパイア,ブロンズレア,2,血の取引,100614010,5_pzw
ベーシック,ヴァンパイア,ブロンズレア,2,鋭利な一裂き,100614020,5_p-4
ベーシック,ヴァンパイア,ブロンズレア,4,真紅の粛清,100614030,5_p-E
ベーシック,ヴァンパイア,シルバーレア,7,アビスビースト,100621010,5_rhI
ベーシック,ヴァンパイア,シルバーレア,4,ワードローブレイダー,100621020,5_rhS
ベーシック,ヴァンパイア,シルバーレア,6,デモンストーム,100624010,5_sQA
ベーシック,ビショップ,ブロンズレア,2,スネークプリースト,100711010,60BfY
ベーシック,ビショップ,ブロンズレア,7,大修道女,100711020,60Bfi
ベーシック,ビショップ,ブロンズレア,2,詠唱：聖獣への誓い,100713010,60C8o
ベーシック,ビショップ,ブロンズレア,1,詠唱：天馬召喚,100713020,60C8y
ベーシック,ビショップ,ブロンズレア,3,詠唱：白竜降臨,100713030,60C96
ベーシック,ビショップ,ブロンズレア,2,気高き教理,100714010,60COQ
ベーシック,ビショップ,ブロンズレア,2,漆黒の法典,100714020,60COa
ベーシック,ビショップ,ブロンズレア,5,破邪の光,100714030,60COk
ベーシック,ビショップ,シルバーレア,5,高位プリースト,100721010,60E5o
ベーシック,ビショップ,シルバーレア,4,鉄槌の僧侶,100721020,60E5y
ベーシック,ビショップ,シルバーレア,5,詠唱：二対の炎,100723010,60Eb2
ベーシック,ネメシス,ブロンズレア,3,トイソルジャー,100811010,60a42
ベーシック,ネメシス,ブロンズレア,2,ドールユーザー,100811020,60a4C
ベーシック,ネメシス,ブロンズレア,3,オートマタナイト,100811030,60a4M
ベーシック,ネメシス,ブロンズレア,4,鉄鋼の拳闘士,100811040,60a4W
ベーシック,ネメシス,ブロンズレア,6,黒鉄の兵士,100811050,60a4g
ベーシック,ネメシス,ブロンズレア,2,マキナサーヴァント,100811060,60a4q
ベーシック,ネメシス,ブロンズレア,2,魔鉄の獅子,100811070,60a4-
ベーシック,ネメシス,ブロンズレア,2,次元断,100814010,60aow
ベーシック,ネメシス,シルバーレア,2,魔鋼の傀儡,100821010,60cWI
ベーシック,ネメシス,シルバーレア,4,白黒翼・ネクス,100821020,60cWS
ベーシック,ネメシス,シルバーレア,4,人形遣いの糸,100824010,60dFA
クラシックカードパック,ニュートラル,ブロンズレア,2,ミノタウロス,101011010,61Kv2
クラシックカードパック,ニュートラル,ブロンズレア,4,デザートライダー,101011020,61KvC
クラシックカードパック,ニュートラル,ブロンズレア,3,シールドエンジェル,101011030,61KvM
クラシックカードパック,ニュートラル,ブロンズレア,3,ヒーリングエンジェル,101011040,61KvW
クラシックカードパック,ニュートラル,ブロンズレア,2,研磨の魔法,101014010,61Ldw
クラシックカードパック,ニュートラル,ブロンズレア,3,天上の楽曲,101014020,61Le4
クラシックカードパック,ニュートラル,ブロンズレア,4,デモンストライク,101014030,61LeE
クラシックカードパック,ニュートラル,シルバーレア,2,ベルエンジェル,101021010,61NLI
クラシックカードパック,ニュートラル,シルバーレア,3,リザードマン,101021020,61NLS
クラシックカードパック,ニュートラル,シルバーレア,8,ギルガメッシュ,101021030,61NLc
クラシックカードパック,ニュートラル,シルバーレア,5,ゴブリンマウントデーモン,101021040,61NLm
クラシックカードパック,ニュートラル,シルバーレア,1,エンジェルスナイプ,101024010,61O4A
クラシックカードパック,ニュートラル,シルバーレア,3,エンジェルバレッジ,101024020,61O4K
クラシックカードパック,ニュートラル,シルバーレア,5,エクスキューション,101024030,61O4U
クラシックカードパック,ニュートラル,シルバーレア,2,光の道筋,101024040,61O4e
クラシックカードパック,ニュートラル,ゴールドレア,4,ウルズ,101031010,61PnY
クラシックカードパック,ニュートラル,ゴールドレア,5,風神,101031020,61Pni
クラシックカードパック,ニュートラル,ゴールドレア,6,天翼を食う者,101031030,61Pns
クラシックカードパック,ニュートラル,ゴールドレア,6,アテナ,101031040,61Po0
クラシックカードパック,ニュートラル,ゴールドレア,4,冥府への道,101032010,61Q1A
クラシックカードパック,ニュートラル,ゴールドレア,2,新たなる運命,101034010,61QWQ
クラシックカードパック,ニュートラル,レジェンド,7,ガブリエル,101041010,61SDo
クラシックカードパック,ニュートラル,レジェンド,8,ルシフェル,101041020,61SDy
クラシックカードパック,ニュートラル,レジェンド,10,サタン,101041030,61SE6
クラシックカードパック,エルフ,ブロンズレア,1,ベビーエルフ・メイ,101111010,61jJY
クラシックカードパック,エルフ,ブロンズレア,1,ブレイブフェアリー,101111020,61jJi
クラシックカードパック,エルフ,ブロンズレア,2,ダンジョンフェアリー,101111030,61jJs
クラシックカードパック,エルフ,ブロンズレア,2,フェアリーブリンガー,101111040,61jK0
クラシックカードパック,エルフ,ブロンズレア,3,アーチャー,101111050,61jKA
クラシックカードパック,エルフ,ブロンズレア,3,沼の精,101111060,61jKK
クラシックカードパック,エルフ,ブロンズレア,2,ワンダーエルフメイジ,101111070,61jKU
クラシックカードパック,エルフ,ブロンズレア,5,フェアリーキャスター,101111080,61jKe
クラシックカードパック,エルフ,ブロンズレア,2,放浪するエルフ,101111090,61jKo
クラシックカードパック,エルフ,ブロンズレア,3,妖精の楽園,101112010,61jZA
クラシックカードパック,エルフ,ブロンズレア,2,まどろみの森,101113010,61joo
クラシックカードパック,エルフ,ブロンズレア,1,自然の導き,101114010,61k2Q
クラシックカードパック,エルフ,ブロンズレア,2,妖精のいたずら,101114020,61k2a
クラシックカードパック,エルフ,ブロンズレア,4,義賊の流儀,101114030,61k2k
クラシックカードパック,エルフ,ブロンズレア,2,精霊の呪い,101114040,61k2u
クラシックカードパック,エルフ,ブロンズレア,1,フェアリーサークル,101114050,61k32
クラシックカードパック,エルフ,ブロンズレア,3,エレメンタルランス,101114060,61k3C
クラシックカードパック,エルフ,シルバーレア,3,ワルツフェアリー,101121010,61llo
クラシックカードパック,エルフ,シルバーレア,2,ブレスフェアリーダンサー,101121020,61lly
クラシックカードパック,エルフ,シルバーレア,3,タムリン,101121030,61lm6
クラシックカードパック,エルフ,シルバーレア,3,カニバルフラワー,101121040,61lmG
クラシックカードパック,エルフ,シルバーレア,5,エルフプロフェテス,101121050,61lmQ
クラシックカードパック,エルフ,シルバーレア,6,エルダートレント,101121060,61lma
クラシックカードパック,エルフ,シルバーレア,6,フェアリービースト,101121070,61lmk
クラシックカードパック,エルフ,シルバーレア,4,エルフプリンセスメイジ,101121080,61lmu
クラシックカードパック,エルフ,シルバーレア,4,マナエルク,101121090,61ln2
クラシックカードパック,エルフ,シルバーレア,8,フォレストジャイアント,101121100,61lnC
クラシックカードパック,エルフ,シルバーレア,7,フォレストアケロウ,101121110,61lnM
クラシックカードパック,エルフ,シルバーレア,4,収穫祭,101122010,61l_Q
クラシックカードパック,エルフ,シルバーレア,1,森の聖域,101122020,61l_a
クラシックカードパック,エルフ,ゴールドレア,4,ペタルフェンサー,101131010,61oC2
クラシックカードパック,エルフ,ゴールドレア,2,リノセウス,101131020,61oCC
クラシックカードパック,エルフ,ゴールドレア,5,ノーブルフェアリー,101131030,61oCM
クラシックカードパック,エルフ,ゴールドレア,8,エンシェントフォレストドラゴン,101131040,61oCW
クラシックカードパック,エルフ,ゴールドレア,5,ロビンフッド,101131050,61oCg
クラシックカードパック,エルフ,ゴールドレア,5,ティターニアの妖精郷,101132010,61oRg
クラシックカードパック,エルフ,ゴールドレア,5,森の意志,101134010,61oww
クラシックカードパック,エルフ,ゴールドレア,9,白銀の矢,101134020,61ox4
クラシックカードパック,エルフ,ゴールドレア,7,根源への回帰,101134030,61oxE
クラシックカードパック,エルフ,レジェンド,6,フェアリープリンセス,101141010,61qeI
クラシックカードパック,エルフ,レジェンド,3,エンシェントエルフ,101141020,61qeS
クラシックカードパック,エルフ,レジェンド,8,ローズクイーン,101141030,61qec
クラシックカードパック,ロイヤル,ブロンズレア,1,ニンジャエッグ,101211010,625k2
クラシックカードパック,ロイヤル,ブロンズレア,2,不屈の兵士,101211020,625kC
クラシックカードパック,ロイヤル,ブロンズレア,2,パレスフェンサー,101211030,625kM
クラシックカードパック,ロイヤル,ブロンズレア,2,サイクロンソルジャー,101211040,625kW
クラシックカードパック,ロイヤル,ブロンズレア,2,ケンタウロスヴァンガード,101211050,625kg
クラシックカードパック,ロイヤル,ブロンズレア,3,フェンサー,101211060,625kq
クラシックカードパック,ロイヤル,ブロンズレア,4,勇猛たる騎士,101211070,625k-
クラシックカードパック,ロイヤル,ブロンズレア,5,セントリーナイト,101211080,625l8
クラシックカードパック,ロイヤル,ブロンズレア,3,ノーヴィストルーパー,101211090,625lI
クラシックカードパック,ロイヤル,ブロンズレア,3,スニッピーガーデナー,101211100,625lS
クラシックカードパック,ロイヤル,ブロンズレア,2,歴戦のランサー,101211110,625lc
クラシックカードパック,ロイヤル,ブロンズレア,1,ヴァンガード,101211120,625lm
クラシックカードパック,ロイヤル,ブロンズレア,6,戦場の騎兵,101211130,625lw
クラシックカードパック,ロイヤル,ブロンズレア,6,アドミラル,101211140,625m4
クラシックカードパック,ロイヤル,ブロンズレア,4,激励の舞,101214010,626Sw
クラシックカードパック,ロイヤル,ブロンズレア,5,猛襲,101214020,626T4
クラシックカードパック,ロイヤル,ブロンズレア,3,ジャイアントスレイヤー,101214030,626TE
クラシックカードパック,ロイヤル,シルバーレア,2,メイドリーダー,101221010,628AI
クラシックカードパック,ロイヤル,シルバーレア,2,アサシン,101221020,628AS
クラシックカードパック,ロイヤル,シルバーレア,4,カースドジェネラル,101221030,628Ac
クラシックカードパック,ロイヤル,シルバーレア,5,パーシヴァル,101221040,628Am
クラシックカードパック,ロイヤル,シルバーレア,3,ネイビールテナント,101221050,628Aw
クラシックカードパック,ロイヤル,シルバーレア,5,ノーブルナイト,101221060,628B4
クラシックカードパック,ロイヤル,シルバーレア,3,わがままプリンセス,101221070,628BE
クラシックカードパック,ロイヤル,シルバーレア,2,ルミナスナイト,101221080,628BO
クラシックカードパック,ロイヤル,シルバーレア,2,プリンセスヴァンガード,101221090,628BY
クラシックカードパック,ロイヤル,シルバーレア,4,剣豪,101221100,628Bi
クラシックカードパック,ロイヤル,シルバーレア,8,レイジングジェネラル,101221110,628Bs
クラシックカードパック,ロイヤル,シルバーレア,2,鉄壁の城塞,101222010,628Pw
クラシックカードパック,ロイヤル,シルバーレア,2,兵士徴集,101224010,628vA
クラシックカードパック,ロイヤル,ゴールドレア,4,闇を纏う暗殺者,101231010,62AcY
クラシックカードパック,ロイヤル,ゴールドレア,8,ドラゴニュート・シャルロット,101231020,62Aci
クラシックカードパック,ロイヤル,ゴールドレア,3,宝杖の司令官,101231030,62Acs
クラシックカードパック,ロイヤル,ゴールドレア,7,フロントガードジェネラル,101231040,62Ad0
クラシックカードパック,ロイヤル,ゴールドレア,4,ヴァンガード・レイサム,101231050,62AdA
クラシックカードパック,ロイヤル,ゴールドレア,5,騎士王の威光,101232010,62AsA
クラシックカードパック,ロイヤル,ゴールドレア,1,最前線,101232020,62AsK
クラシックカードパック,ロイヤル,ゴールドレア,4,軍師の妙策,101234010,62BLQ
クラシックカードパック,ロイヤル,ゴールドレア,6,アルビダの号令,101234020,62BLa
クラシックカードパック,ロイヤル,レジェンド,6,海底都市王・乙姫,101241010,62D2o
クラシックカードパック,ロイヤル,レジェンド,5,ロイヤルセイバー・オーレリア,101241020,62D2y
クラシックカードパック,ロイヤル,レジェンド,6,ツバキ,101241030,62D36
クラシックカードパック,ウィッチ,ブロンズレア,2,ペンギンウィザード,101311010,62U8Y
クラシックカードパック,ウィッチ,ブロンズレア,2,クラフトウォーロック,101311020,62U8i
クラシックカードパック,ウィッチ,ブロンズレア,4,結界魔術師,101311030,62U8s
クラシックカードパック,ウィッチ,ブロンズレア,3,ルーンガーディアン,101311040,62U90
クラシックカードパック,ウィッチ,ブロンズレア,3,ガントレットヒーラー,101311050,62U9A
クラシックカードパック,ウィッチ,ブロンズレア,2,ルーキーアルケミスト,101311060,62U9K
クラシックカードパック,ウィッチ,ブロンズレア,6,マスターアルケミスト,101311070,62U9U
クラシックカードパック,ウィッチ,ブロンズレア,5,旋風の魔術師,101311080,62U9e
クラシックカードパック,ウィッチ,ブロンズレア,6,怨恨の魔女,101311090,62U9o
クラシックカードパック,ウィッチ,ブロンズレア,4,上級アルケミスト,101311100,62U9y
クラシックカードパック,ウィッチ,ブロンズレア,2,雄大なる教え,101312010,62UOA
クラシックカードパック,ウィッチ,ブロンズレア,4,錬金工房,101312020,62UOK
クラシックカードパック,ウィッチ,ブロンズレア,3,初級錬金実験,101312030,62UOU
クラシックカードパック,ウィッチ,ブロンズレア,2,虹の輝き,101314010,62UtQ
クラシックカードパック,ウィッチ,ブロンズレア,5,運命の導き,101314020,62Uta
クラシックカードパック,ウィッチ,ブロンズレア,4,地裂弾,101314030,62Utk
クラシックカードパック,ウィッチ,ブロンズレア,7,双璧の召喚,101314040,62Utu
クラシックカードパック,ウィッチ,シルバーレア,6,ジュエルゴーレム,101321010,62Wao
クラシックカードパック,ウィッチ,シルバーレア,3,スペクトラルウィザード,101321020,62Way
クラシックカードパック,ウィッチ,シルバーレア,6,ウィッチクラフト・マギサ,101321030,62Wb6
クラシックカードパック,ウィッチ,シルバーレア,2,スカラーウィッチ,101321040,62WbG
クラシックカードパック,ウィッチ,シルバーレア,4,クイーン・メイヴ,101321050,62WbQ
クラシックカードパック,ウィッチ,シルバーレア,5,フレイムウィッチ,101321060,62Wba
クラシックカードパック,ウィッチ,シルバーレア,4,ルーンブレードサモナー,101321070,62Wbk
クラシックカードパック,ウィッチ,シルバーレア,3,錬金術の代償,101322010,62WqQ
クラシックカードパック,ウィッチ,シルバーレア,5,ゴーレムプロテクション,101324010,62XJg
クラシックカードパック,ウィッチ,シルバーレア,7,アルケミックロア,101324020,62XJq
クラシックカードパック,ウィッチ,シルバーレア,1,実験開始,101324030,62XJ-
クラシックカードパック,ウィッチ,シルバーレア,3,魔力の蓄積,101324040,62XK8
クラシックカードパック,ウィッチ,シルバーレア,3,変成の魔術,101324050,62XKI
クラシックカードパック,ウィッチ,ゴールドレア,5,エンシェントアルケミスト,101331010,62Z12
クラシックカードパック,ウィッチ,ゴールドレア,7,ドラゴンメイジ,101331020,62Z1C
クラシックカードパック,ウィッチ,ゴールドレア,5,魔導の力場,101332010,62ZGg
クラシックカードパック,ウィッチ,ゴールドレア,7,ノノの秘密研究室,101333010,62ZWI
クラシックカードパック,ウィッチ,ゴールドレア,6,神秘の獲得,101334010,62Zlw
クラシックカードパック,ウィッチ,ゴールドレア,20,次元の超越,101334020,62Zm4
クラシックカードパック,ウィッチ,ゴールドレア,3,ファーストカース,101334030,62ZmE
クラシックカードパック,ウィッチ,ゴールドレア,4,ファイアーチェイン,101334040,62ZmO
クラシックカードパック,ウィッチ,ゴールドレア,5,冬の女王の気紛れ,101334050,62ZmY
クラシックカードパック,ウィッチ,レジェンド,9,ミスリルゴーレム,101341010,62bTI
クラシックカードパック,ウィッチ,レジェンド,4,マーリン,101341020,62bTS
クラシックカードパック,ウィッチ,レジェンド,8,アークサモナー・エラスムス,101341030,62bTc
クラシックカードパック,ドラゴン,ブロンズレア,1,アイボリードラゴン,101411010,62sZ2
クラシックカードパック,ドラゴン,ブロンズレア,2,大嵐のドラゴン,101411020,62sZC
クラシックカードパック,ドラゴン,ブロンズレア,3,ドラゴンナイト・アイラ,101411030,62sZM
クラシックカードパック,ドラゴン,ブロンズレア,3,ツインヘッドドラゴン,101411040,62sZW
クラシックカードパック,ドラゴン,ブロンズレア,4,グリントドラゴン,101411050,62sZg
クラシックカードパック,ドラゴン,ブロンズレア,2,サンドストームドラゴン,101411060,62sZq
クラシックカードパック,ドラゴン,ブロンズレア,5,海剣竜,101411070,62sZ-
クラシックカードパック,ドラゴン,ブロンズレア,7,スカルドラゴン,101411080,62sa8
クラシックカードパック,ドラゴン,ブロンズレア,8,インフェルノドラゴン,101411090,62saI
クラシックカードパック,ドラゴン,ブロンズレア,3,ルフ鳥,101411100,62saS
クラシックカードパック,ドラゴン,ブロンズレア,2,ファイアーリザード,101411110,62sac
クラシックカードパック,ドラゴン,ブロンズレア,3,トリニティドラゴン,101411120,62sam
クラシックカードパック,ドラゴン,ブロンズレア,7,氷結のドラゴン,101411130,62saw
クラシックカードパック,ドラゴン,ブロンズレア,2,竜の翼,101414010,62tHw
クラシックカードパック,ドラゴン,ブロンズレア,3,竜の咆哮,101414020,62tI4
クラシックカードパック,ドラゴン,ブロンズレア,4,竜の力,101414030,62tIE
クラシックカードパック,ドラゴン,ブロンズレア,2,ワイルドハント,101414040,62tIO
クラシックカードパック,ドラゴン,シルバーレア,3,ドラゴニュートプリンセス,101421010,62u_I
クラシックカードパック,ドラゴン,シルバーレア,4,グリムリーパー,101421020,62u_S
クラシックカードパック,ドラゴン,シルバーレア,3,スカイドラコ・エチカ,101421030,62u_c
クラシックカードパック,ドラゴン,シルバーレア,4,リヴァイアサン,101421040,62u_m
クラシックカードパック,ドラゴン,シルバーレア,5,ライトニングベヒモス,101421050,62u_w
クラシックカードパック,ドラゴン,シルバーレア,6,ドラゴンライダーデビル,101421060,62v04
クラシックカードパック,ドラゴン,シルバーレア,7,神龍,101421070,62v0E
クラシックカードパック,ドラゴン,シルバーレア,3,プリズンドラゴン,101421080,62v0O
クラシックカードパック,ドラゴン,シルバーレア,3,エースドラグーン,101421090,62v0Y
クラシックカードパック,ドラゴン,シルバーレア,6,ミストドラゴン,101421100,62v0i
クラシックカードパック,ドラゴン,シルバーレア,2,黄金竜の棲家,101422010,62vEw
クラシックカードパック,ドラゴン,シルバーレア,2,竜の伝令,101424010,62vkA
クラシックカードパック,ドラゴン,シルバーレア,4,竜化の秘法,101424020,62vkK
クラシックカードパック,ドラゴン,ゴールドレア,2,ドラゴニュートスカラー,101431010,62xRY
クラシックカードパック,ドラゴン,ゴールドレア,10,ジェネシスドラゴン,101431020,62xRi
クラシックカードパック,ドラゴン,ゴールドレア,6,騎竜兵,101431030,62xRs
クラシックカードパック,ドラゴン,ゴールドレア,2,変化する魔術師,101431040,62xS0
クラシックカードパック,ドラゴン,ゴールドレア,9,オーブドラゴン,101431050,62xSA
クラシックカードパック,ドラゴン,ゴールドレア,7,ハイドラ,101431060,62xSK
クラシックカードパック,ドラゴン,ゴールドレア,4,デスミストドラゴン,101431070,62xSU
クラシックカードパック,ドラゴン,ゴールドレア,6,竜化の塔,101432010,62xhA
クラシックカードパック,ドラゴン,ゴールドレア,5,鳳凰の庭園,101432020,62xhK
クラシックカードパック,ドラゴン,レジェンド,9,ファフニール,101441010,62zto
クラシックカードパック,ドラゴン,レジェンド,6,ダークドラグーン・フォルテ,101441020,62zty
クラシックカードパック,ドラゴン,レジェンド,8,ジルニトラ,101441030,62zu6
クラシックカードパック,ネクロマンサー,ブロンズレア,2,スケルトンヴァイパー,101511010,63EzY
クラシックカードパック,ネクロマンサー,ブロンズレア,2,スカルウィドウ,101511020,63Ezi
クラシックカードパック,ネクロマンサー,ブロンズレア,3,纏わりつく亡霊,101511030,63Ezs
クラシックカードパック,ネクロマンサー,ブロンズレア,3,ラビットネクロマンサー,101511040,63E-0
クラシックカードパック,ネクロマンサー,ブロンズレア,3,スケルトンナイト,101511050,63E-A
クラシックカードパック,ネクロマンサー,ブロンズレア,2,ワイト,101511060,63E-K
クラシックカードパック,ネクロマンサー,ブロンズレア,7,カースドソルジャー,101511070,63E-U
クラシックカードパック,ネクロマンサー,ブロンズレア,5,ソウルイーター,101511080,63E-e
クラシックカードパック,ネクロマンサー,ブロンズレア,3,スパルトイ,101511090,63E-o
クラシックカードパック,ネクロマンサー,ブロンズレア,7,オルクス,101511100,63E-y
クラシックカードパック,ネクロマンサー,ブロンズレア,2,レッサーマミー,101511110,63E_6
クラシックカードパック,ネクロマンサー,ブロンズレア,1,スカルビースト,101511120,63E_G
クラシックカードパック,ネクロマンサー,ブロンズレア,4,ギルティクーリエ,101511130,63E_Q
クラシックカードパック,ネクロマンサー,ブロンズレア,1,ソウルコンバージョン,101514010,63FiQ
クラシックカードパック,ネクロマンサー,ブロンズレア,2,死への近道,101514020,63Fia
クラシックカードパック,ネクロマンサー,ブロンズレア,3,ソウルハント,101514030,63Fik
クラシックカードパック,ネクロマンサー,ブロンズレア,3,汚れた再生,101514040,63Fiu
クラシックカードパック,ネクロマンサー,シルバーレア,1,スケルトンファイター,101521010,63HPo
クラシックカードパック,ネクロマンサー,シルバーレア,2,デッドリーウィドウ,101521020,63HPy
クラシックカードパック,ネクロマンサー,シルバーレア,3,ネクロエレメンタラー,101521030,63HQ6
クラシックカードパック,ネクロマンサー,シルバーレア,4,スカルライダー,101521040,63HQG
クラシックカードパック,ネクロマンサー,シルバーレア,3,ゴエティアメイジ,101521050,63HQQ
クラシックカードパック,ネクロマンサー,シルバーレア,5,ソウルグラットン,101521060,63HQa
クラシックカードパック,ネクロマンサー,シルバーレア,6,死都の女王,101521070,63HQk
クラシックカードパック,ネクロマンサー,シルバーレア,5,魂飢の亡霊,101521080,63HQu
クラシックカードパック,ネクロマンサー,シルバーレア,8,ソウルグラインダー,101521090,63HR2
クラシックカードパック,ネクロマンサー,シルバーレア,5,デュラハン,101521100,63HRC
クラシックカードパック,ネクロマンサー,シルバーレア,1,集団埋葬地,101522010,63HfQ
クラシックカードパック,ネクロマンサー,シルバーレア,4,再生の呪印,101524010,63I8g
クラシックカードパック,ネクロマンサー,シルバーレア,2,幽体化,101524020,63I8q
クラシックカードパック,ネクロマンサー,ゴールドレア,4,ワイトキング,101531010,63Js2
クラシックカードパック,ネクロマンサー,ゴールドレア,3,マダムリッチ,101531020,63JsC
クラシックカードパック,ネクロマンサー,ゴールドレア,4,ファントムドラゴン,101531030,63JsM
クラシックカードパック,ネクロマンサー,ゴールドレア,6,デスタイラント,101531040,63JsW
クラシックカードパック,ネクロマンサー,ゴールドレア,8,デュエリスト・モルディカイ,101531050,63Jsg
クラシックカードパック,ネクロマンサー,ゴールドレア,1,悪霊の饗宴,101532010,63K5g
クラシックカードパック,ネクロマンサー,ゴールドレア,4,ファントムハウル,101534010,63Kaw
